2013 Federal Election Enrolment By Division [Event:17496 Phase:FinalResults Generated:2014-10-28T11:23:20 Cycle:570ee0da-3d7a-4f7e-8aa1-3c32a4f287ed Created:2014-05-16T14:24:09 Environment:PROD Site:PARKES Server:ACT01 Version:9.1.17.21449]
DivisionID,DivisionNm,StateAb,CloseOfRollsEnrolment,NotebookRollAdditions,NotebookRollDeletions,ReinstatementsPostal,ReinstatementsPrePoll,ReinstatementsAbsent,ReinstatementsProvisional,Enrolment
179,Adelaide,SA,102955,4,40,0,6,30,21,102976
197,Aston,VIC,94168,0,62,6,52,129,64,94357
198,Ballarat,VIC,103377,13,84,7,35,62,90,103500
103,Banks,NSW,101519,2,52,0,5,10,6,101490
180,Barker,SA,103344,4,29,0,8,5,15,103347
104,Barton,NSW,98703,3,101,3,19,21,15,98663
192,Bass,TAS,72231,0,46,4,8,8,21,72226
199,Batman,VIC,103083,5,85,7,50,116,63,103239
200,Bendigo,VIC,102753,1,86,5,48,65,142,102928
105,Bennelong,NSW,102484,8,40,4,15,20,17,102508
106,Berowra,NSW,96974,7,34,5,13,22,13,97000
304,Blair,QLD,88583,1,108,0,29,58,93,88656
107,Blaxland,NSW,100315,16,99,0,9,7,13,100261
310,Bonner,QLD,95369,3,91,8,27,96,63,95475
182,Boothby,SA,104010,4,28,1,9,12,24,104032
155,Bowman,QLD,95872,18,63,2,18,9,23,95879
193,Braddon,TAS,71631,1,58,0,40,17,87,71718
108,Bradfield,NSW,100423,15,57,2,31,29,15,100458
235,Brand,WA,99733,3,65,2,40,85,69,99867
156,Brisbane,QLD,97230,6,58,14,66,100,88,97446
201,Bruce,VIC,94745,6,84,9,31,43,22,94772
109,Calare,NSW,102012,25,24,0,13,6,6,102038
203,Calwell,VIC,102505,0,42,8,27,103,81,102682
101,Canberra,ACT,127323,2,65,1,49,2,47,127359
236,Canning,WA,101688,0,53,1,26,60,82,101804
157,Capricornia,QLD,94262,0,49,5,44,53,94,94409
204,Casey,VIC,97553,14,85,7,62,103,107,97761
110,Charlton,NSW,98522,7,45,1,15,17,34,98551
111,Chifley,NSW,102398,2,80,7,11,14,17,102369
205,Chisholm,VIC,96213,3,83,0,32,104,46,96315
112,Cook,NSW,104211,0,91,1,20,14,28,104183
207,Corangamite,VIC,101669,2,90,3,15,21,20,101640
208,Corio,VIC,101048,0,96,3,40,87,128,101210
237,Cowan,WA,95444,12,52,0,10,22,41,95477
113,Cowper,NSW,97166,0,54,4,22,18,24,97180
114,Cunningham,NSW,104109,0,59,1,8,16,17,104092
238,Curtin,WA,94290,18,61,0,23,23,30,94323
158,Dawson,QLD,98012,2,68,11,54,45,96,98152
209,Deakin,VIC,97238,23,101,4,36,134,47,97381
194,Denison,TAS,71660,0,45,5,54,51,79,71804
252,Dickson,QLD,94273,1,63,6,32,72,54,94375
115,Dobell,NSW,99276,0,60,3,2,10,8,99239
210,Dunkley,VIC,98868,3,80,3,36,91,83,99004
312,Durack,WA,90737,2,41,0,44,48,62,90852
117,Eden-Monaro,NSW,100046,3,57,0,8,9,12,100021
159,Fadden,QLD,91601,0,81,8,63,77,91,91759
160,Fairfax,QLD,95411,11,69,14,47,29,45,95488
118,Farrer,NSW,94555,9,76,5,13,5,13,94524
161,Fisher,QLD,88355,12,66,3,28,31,20,88383
211,Flinders,VIC,105242,2,97,6,93,106,83,105435
311,Flynn,QLD,95230,3,73,4,40,70,83,95357
162,Forde,QLD,88306,13,67,0,19,34,40,88345
239,Forrest,WA,96797,1,49,4,32,83,65,96933
119,Fowler,NSW,99094,1,36,2,8,21,32,99122
195,Franklin,TAS,73474,0,31,4,22,49,75,73593
102,Fraser,ACT,137946,2,54,0,36,5,52,137987
240,Fremantle,WA,100776,4,67,0,43,65,81,100902
212,Gellibrand,VIC,102038,9,79,7,49,79,87,102190
120,Gilmore,NSW,101464,2,67,0,27,21,22,101469
213,Gippsland,VIC,99513,2,106,3,43,36,82,99573
214,Goldstein,VIC,100503,1,79,9,35,79,35,100583
309,Gorton,VIC,102158,0,44,5,27,62,85,102293
121,Grayndler,NSW,104737,3,40,5,38,41,24,104808
122,Greenway,NSW,101852,0,51,3,2,8,15,101829
183,Grey,SA,100764,2,26,0,6,4,8,100758
163,Griffith,QLD,97168,6,66,6,75,142,82,97413
164,Groom,QLD,96980,4,103,1,2,20,22,96926
305,Hasluck,WA,98367,25,57,3,30,52,44,98464
165,Herbert,QLD,97081,4,81,4,15,9,44,97076
215,Higgins,VIC,98313,3,79,3,57,78,29,98404
185,Hindmarsh,SA,106780,7,45,0,10,24,16,106792
166,Hinkler,QLD,94412,3,96,7,53,54,62,94495
216,Holt,VIC,102523,39,68,0,17,26,48,102585
217,Hotham,VIC,97600,3,96,1,12,66,32,97618
124,Hughes,NSW,101464,0,45,0,20,37,12,101488
125,Hume,NSW,102343,1,74,2,4,3,12,102291
126,Hunter,NSW,97332,3,75,2,12,10,7,97291
218,Indi,VIC,98465,10,76,5,94,64,75,98637
219,Isaacs,VIC,97915,1,79,1,21,20,18,97897
220,Jagajaga,VIC,101008,3,70,3,48,132,81,101205
167,Kennedy,QLD,96292,0,77,4,38,44,92,96393
127,Kingsford Smith,NSW,102370,2,47,3,37,29,24,102418
186,Kingston,SA,98741,6,31,2,12,11,34,98775
221,Kooyong,VIC,97044,1,105,7,27,27,43,97044
223,La Trobe,VIC,97841,1,57,8,40,108,65,98006
222,Lalor,VIC,107280,8,84,5,37,61,85,107392
168,Leichhardt,QLD,99245,1,16,2,16,18,46,99312
169,Lilley,QLD,100110,3,89,8,31,67,41,100171
128,Lindsay,NSW,101246,6,60,3,3,13,18,101229
306,Lingiari,NT,65877,12,24,3,35,1,12,65916
302,Longman,QLD,93945,1,100,5,33,85,80,94049
130,Lyne,NSW,97172,1,60,1,8,11,5,97138
196,Lyons,TAS,73896,1,50,6,52,46,39,73990
131,Macarthur,NSW,97939,5,28,1,4,9,11,97941
132,Mackellar,NSW,102830,5,29,3,16,14,22,102861
133,Macquarie,NSW,100700,0,43,2,6,5,11,100681
187,Makin,SA,102792,2,25,2,11,20,15,102817
224,Mallee,VIC,97387,2,100,3,51,28,29,97400
170,Maranoa,QLD,99525,6,104,8,33,77,63,99608
225,Maribyrnong,VIC,104861,0,103,3,43,76,58,104938
188,Mayo,SA,100479,8,27,1,15,14,29,100519
226,McEwen,VIC,111813,1,97,9,56,115,115,112012
315,McMahon,NSW,99217,0,33,2,20,37,36,99279
227,McMillan,VIC,105586,3,97,2,51,70,124,105739
171,McPherson,QLD,94303,1,74,3,68,71,91,94463
228,Melbourne,VIC,98721,31,79,12,141,198,106,99130
230,Melbourne Ports,VIC,93331,5,75,9,99,153,94,93616
229,Menzies,VIC,98483,33,60,5,59,77,50,98647
134,Mitchell,NSW,97645,1,35,1,21,29,20,97682
172,Moncrieff,QLD,92446,3,84,13,115,91,90,92674
242,Moore,WA,97094,17,36,3,25,77,58,97238
173,Moreton,QLD,94168,2,75,5,42,85,44,94271
231,Murray,VIC,100127,2,98,4,46,28,76,100185
135,New England,NSW,102187,6,95,1,6,1,10,102116
136,Newcastle,NSW,97357,13,47,3,20,29,22,97397
137,North Sydney,NSW,101246,20,48,4,63,20,28,101333
243,O'Connor,WA,94985,7,63,5,20,46,69,95069
174,Oxley,QLD,86750,3,74,8,13,81,60,86841
138,Page,NSW,95725,5,43,1,18,8,10,95724
139,Parkes,NSW,101915,13,58,3,33,13,17,101936
140,Parramatta,NSW,98521,2,38,5,34,34,44,98602
249,Paterson,NSW,97092,3,64,2,20,31,23,97107
244,Pearce,WA,101126,4,33,4,45,87,84,101317
245,Perth,WA,95127,5,84,9,58,104,28,95247
175,Petrie,QLD,92905,2,97,6,35,74,48,92973
189,Port Adelaide,SA,105232,8,36,1,3,24,24,105256
176,Rankin,QLD,96492,3,73,4,22,38,30,96516
144,Reid,NSW,103683,4,38,3,33,44,32,103761
145,Richmond,NSW,97338,10,72,2,55,16,72,97421
250,Riverina,NSW,100137,31,71,2,9,3,4,100115
146,Robertson,NSW,100822,12,73,0,15,20,19,100815
177,Ryan,QLD,100498,2,62,16,57,91,50,100652
232,Scullin,VIC,103560,1,116,6,42,112,86,103691
