2016 Federal Election Enrolment By Division [Please Note: These results are not final. Event:20499 Phase:PostElection Generated:2016-07-04T11:05:43 Cycle:21445be3-79c0-4199-92da-61b74bd123dc Created:2016-07-04T11:02:29 Environment:PROD Site:FDC Server:DB01 Version:10.4.37.36662]
DivisionID,DivisionNm,StateAb,CloseOfRollsEnrolment,NotebookRollAdditions,NotebookRollDeletions,ReinstatementsPostal,ReinstatementsPrePoll,ReinstatementsAbsent,ReinstatementsProvisional,Enrolment
179,Adelaide,SA,109211,0,0,0,0,0,0,109211
197,Aston,VIC,96010,0,0,0,0,0,0,96010
198,Ballarat,VIC,110793,0,0,0,0,0,0,110793
103,Banks,NSW,104959,0,0,0,0,0,0,104959
180,Barker,SA,105648,0,0,0,0,0,0,105648
104,Barton,NSW,106566,0,0,0,0,0,0,106566
192,Bass,TAS,73591,0,0,0,0,0,0,73591
199,Batman,VIC,108942,0,0,0,0,0,0,108942
200,Bendigo,VIC,109615,0,0,0,0,0,0,109615
105,Bennelong,NSW,106005,0,0,0,0,0,0,106005
106,Berowra,NSW,105292,0,0,0,0,0,0,105292
304,Blair,QLD,98427,0,0,0,0,0,0,98427
107,Blaxland,NSW,103539,0,0,0,0,0,0,103539
310,Bonner,QLD,100853,0,0,0,0,0,0,100853
182,Boothby,SA,107323,0,0,0,0,0,0,107323
155,Bowman,QLD,103551,0,0,0,0,0,0,103551
193,Braddon,TAS,72519,0,0,0,0,0,0,72519
108,Bradfield,NSW,105735,0,0,0,0,0,0,105735
235,Brand,WA,98113,0,0,0,0,0,0,98113
156,Brisbane,QLD,106958,0,0,0,0,0,0,106958
201,Bruce,VIC,96716,0,0,0,0,0,0,96716
317,Burt,WA,99572,0,0,0,0,0,0,99572
109,Calare,NSW,113025,0,0,0,0,0,0,113025
203,Calwell,VIC,109370,0,0,0,0,0,0,109370
101,Canberra,ACT,143279,0,0,0,0,0,0,143279
236,Canning,WA,99006,0,0,0,0,0,0,99006
157,Capricornia,QLD,98233,0,0,0,0,0,0,98233
204,Casey,VIC,102919,0,0,0,0,0,0,102919
