2016 Federal Election House of Representatives First Preferences By Candidate By Vote Type [Please Note: These results are not final. Event:20499 Phase:PostElection Generated:2016-07-04T11:42:35 Cycle:d2be9ab3-ee47-42e6-8c4b-e7c63763bf94 Created:2016-07-04T11:40:14 Environment:PROD Site:FDC Server:DB01 Version:10.4.37.36662]
StateAb,DivisionID,DivisionNm,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,Swing
ACT,101,Canberra,28189,BRODTMANN,Gai,1,N,Y,ALP,Australian Labor Party,42874,0,0,0,0,42874,1.54
ACT,101,Canberra,28336,CAHILL,Patricia,2,N,N,GRN,The Greens,14938,0,0,0,0,14938,1.81
ACT,101,Canberra,29373,BUCKNELL,Christopher D'Arcy,3,N,N,BTA,Bullet Train For Australia,4537,0,0,0,0,4537,0.36
ACT,101,Canberra,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,38089,0,0,0,0,38089,0.59
ACT,101,Canberra,999,Informal,Informal,999,N,N,,Informal,2993,0,0,0,0,2993,-0.96
ACT,102,Fenner,28190,LEIGH,Andrew Keith,1,N,Y,ALP,Australian Labor Party,39283,0,0,0,0,39283,1.64
ACT,102,Fenner,28200,WOODMAN,Andrew,2,N,N,IND,Independent,3055,0,0,0,0,3055,3.61
ACT,102,Fenner,28983,GUNNING,Robert,3,N,N,LP,Liberal,25114,0,0,0,0,25114,-2
ACT,102,Fenner,28320,SAEEDI,Carly,4,N,N,GRN,The Greens,13930,0,0,0,0,13930,2.72
ACT,102,Fenner,29372,BOHM,Tim,5,N,N,BTA,Bullet Train For Australia,3127,0,0,0,0,3127,-0.3
ACT,102,Fenner,999,Informal,Informal,999,N,N,,Informal,2559,0,0,0,0,2559,-0.87
NSW,103,Banks,28951,GAMBIAN,Chris,1,N,N,ALP,Labor,30806,0,0,0,0,30806,0.7
NSW,103,Banks,29208,WU,Sharon,2,N,N,FFP,Family First,1239,0,0,0,0,1239,1.63
NSW,103,Banks,28649,CLARK,Philippa,3,N,N,GRN,The Greens,4282,0,0,0,0,4282,0.59
NSW,103,Banks,28660,COLEMAN,David,4,N,Y,LP,Liberal,33161,0,0,0,0,33161,-4.05
NSW,103,Banks,28639,BONDAR,Greg,5,N,N,CDP,Christian Democratic Party (Fred Nile Group),4183,0,0,0,0,4183,3.1
NSW,103,Banks,29097,BARNES,Roy Owen,6,N,N,AJP,Animal Justice Party,1232,0,0,0,0,1232,1.62
NSW,103,Banks,29327,SPANSWICK,Bob,7,N,N,IND,Independent,1034,0,0,0,0,1034,1.36
NSW,103,Banks,999,Informal,Informal,999,N,N,,Informal,5439,0,0,0,0,5439,-2.41
NSW,104,Barton,28057,TORKEL,Rasmus,1,N,N,IND,Independent,1766,0,0,0,0,1766,2.41
NSW,104,Barton,28636,VARVARIS,Nickolas,2,N,Y,LP,Liberal,25915,0,0,0,0,25915,-2.92
NSW,104,Barton,28964,BURNEY,Linda,3,N,N,ALP,Labor,35674,0,0,0,0,35674,5.05
NSW,104,Barton,28626,SUSILO,Sonny,4,N,N,CDP,Christian Democratic Party (Fred Nile Group),3168,0,0,0,0,3168,2.25
NSW,104,Barton,28632,HEBER,Brent,5,N,N,GRN,The Greens,5943,0,0,0,0,5943,0.23
