,Name,State,Surname,PartyNm,Current Prop,Projected votes,Funding
189,Flinders,VIC,WILD,Animal Justice Party,0.04291994734358312,4641.234345893048,12196.421263511587
291,Isaacs,VIC,JOHNSTON,Animal Justice Party,0.04722731283513202,4645.42017240209,12207.42094584511
100,Casey,VIC,BACON,Animal Justice Party,0.043313830005892104,4232.497526685759,11122.326300525905
435,O'Connor,WA,YOUNG,Australian Christians,0.04192010784958834,3941.7896612046416,10358.392543300006
568,Burt,WA,SPYKER,Australian Christians,0.052457739571914845,4833.141377718803,12700.722238024578
421,Murray,VIC,DANIELI,Australian Country Party,0.04072077374821077,4020.6470375770873,10565.617111226573
209,Fenner,ACT,LEIGH,Australian Labor Party,0.4648380645848371,60989.54310191814,160270.76094494457
320,Leichhardt,QLD,HOWES,Australian Labor Party,0.2843031994846468,28312.618423878033,74401.03119900366
91,Canning,WA,WINMAR,Australian Labor Party,0.3400041141379412,30971.3147609392,81387.65978138646
253,Hasluck,WA,LEADBETTER,Australian Labor Party,0.35765864332603936,31509.011159737416,82800.63988600437
164,Durack,WA,MARTIN,Australian Labor Party,0.2540618939751968,21530.72926682203,56579.3115965256
98,Capricornia,QLD,NEATON,Australian Labor Party,0.3938939076787485,36692.39918199846,96421.75426642282
314,Lalor,VIC,RYAN,Australian Labor Party,0.5280026117008702,60761.484549312736,159671.45955806598
101,Casey,VIC,MELKONIAN,Australian Labor Party,0.29259101933432907,28591.116636292634,75132.87994151523
311,La Trobe,VIC,CURTIS,Australian Labor Party,0.3220704121548841,32283.69397358127,84836.3823715358
533,Wannon,VIC,BARLING,Australian Labor Party,0.31377937450567717,29764.483906859525,78216.30138980174
471,Port Adelaide,SA,BUTLER,Australian Labor Party,0.492433883100029,51445.55263522623,135190.68103695288
85,Canberra,ACT,BRODTMANN,Australian Labor Party,0.4268703080507378,57975.817758219004,152351.17293775824
324,Lilley,QLD,SWAN,Australian Labor Party,0.43562012375571696,43934.467581382836,115452.75128906107
83,Calwell,VIC,VAMVAKINOU,Australian Labor Party,0.5874824087104659,58425.71302866454,153533.42572524582
440,Oxley,QLD,DICK,Australian Labor Party,0.46875321280126897,41660.91054092558,109478.20715586586
245,Griffith,QLD,BUTLER,Australian Labor Party,0.3370203891840099,33223.80698614888,87306.84895048146
173,Fadden,QLD,SCANLON,Australian Labor Party,0.26317226317226317,25549.552825552826,67140.13689710073
76,Bruce,VIC,HILL,Australian Labor Party,0.4531092541200912,40439.0947117099,106267.47064721974
333,Longman,QLD,LAMB,Australian Labor Party,0.36795806555045935,36299.799082683916,95390.0640214401
436,O'Connor,WA,FORD,Australian Labor Party,0.20565247396042305,19337.70777897254,50816.4020098952
464,Perth,WA,HAMMOND,Australian Labor Party,0.38283582089552237,34758.812686567166,91340.59833026867
175,Fairfax,QLD,ANDERSON,Australian Labor Party,0.20871124643589778,21104.463817105112,55459.1541971415
68,Brand,WA,KING,Australian Labor Party,0.48776097912167027,44149.19726421886,116017.0265388049
247,Groom,QLD,HERBERTSON,Australian Labor Party,0.2303010363546636,22127.093271919723,58146.46078368152
530,Wakefield,SA,CHAMPION,Australian Labor Party,0.40526768249380163,42352.904426697234,111296.65636865205
162,Dunkley,VIC,MURPHY,Australian Labor Party,0.34688967476375443,33967.43695286683,89260.98952222157
239,Grey,SA,MARTIN,Australian Labor Party,0.2199483038878674,20880.792229594692,54871.38105261811
514,Swan,WA,SOLONEC,Australian Labor Party,0.3383225806451613,29994.665032258064,78821.18055836903
142,Dawson,QLD,GILBERT,Australian Labor Party,0.33441809807497996,32521.156783497576,85460.39664194627
270,Holt,VIC,BYRNE,Australian Labor Party,0.5451343463822079,58823.26678071853,154578.13337704338
148,Denison,TAS,AUSTIN,Australian Labor Party,0.23164579606440072,16161.695545617175,42470.35002259463
275,Hotham,VIC,O'NEIL,Australian Labor Party,0.46799104323362234,43306.48716770971,113802.51923879428
511,Sturt,SA,LOADER,Australian Labor Party,0.22624505928853755,22148.712569169962,58203.27283776759
136,Curtin,WA,CALLANAN,Australian Labor Party,0.15752639337671426,14289.061616808374,37549.36767911372
151,Dickson,QLD,LAVARCH,Australian Labor Party,0.3580353235165394,34217.79390379918,89918.88753215964
268,Hinkler,QLD,LAWSON,Australian Labor Party,0.26860349257957944,25593.883790445227,67256.63157988359
458,Pearce,WA,FRENCH,Australian Labor Party,0.3477305470262089,33596.68226203123,88286.70551545615
262,Hindmarsh,SA,GEORGANAS,Australian Labor Party,0.3441270943658304,35767.88193419568,93992.27086195677
286,Indi,VIC,KERR,Australian Labor Party,0.09736468360422913,9611.062647940666,25256.3348687644
208,Franklin,TAS,COLLINS,Australian Labor Party,0.47540595799327484,34718.42170629087,91234.4572966594
261,Higgins,VIC,KATTER,Australian Labor Party,0.15126484254001032,14560.905007743933,38263.728615549815
521,Tangney,WA,BOSWELL,Australian Labor Party,0.23625649605424853,20867.355013991502,54836.07019996743
289,Isaacs,VIC,DREYFUS,Australian Labor Party,0.4466164392859567,43930.532817484556,115442.41135909861
122,Corio,VIC,MARLES,Australian Labor Party,0.46574221013123757,47268.1769062193,124213.20600123932
292,Jagajaga,VIC,MACKLIN,Australian Labor Party,0.38994363690299616,37803.47582319786,99341.48590723227
466,Petrie,QLD,PEDERSEN,Australian Labor Party,0.3919847116822689,38740.24104027032,101803.15501526395
296,Kennedy,QLD,JACOBSEN,Australian Labor Party,0.18834322719913654,17369.765785213167,45644.96532101457
118,Corangamite,VIC,COKER,Australian Labor Party,0.31514759257849184,33208.67756795858,87267.09126018427
508,Stirling,WA,PEARSON,Australian Labor Party,0.3283339658444023,29616.05205313093,77826.24622729958
113,Chisholm,VIC,PERRI,Australian Labor Party,0.3734187051254157,33964.29832468218,89252.74170953283
302,Kingston,SA,RISHWORTH,Australian Labor Party,0.501956701703334,49753.44631613276,130744.0963673863
256,Herbert,QLD,O'TOOLE,Australian Labor Party,0.31290532656771497,30627.48626977451,80484.13351916424
309,Kooyong,VIC,D'ARCY,Australian Labor Party,0.20352214960058096,19041.939360929555,50039.16993022512
126,Cowan,WA,ALY,Australian Labor Party,0.4260209910582357,38190.22572242448,100357.80276241594
344,Lyons,TAS,MITCHELL,Australian Labor Party,0.392191723662488,28420.173255202193,74683.66808695054
72,Brisbane,QLD,O'NEILL,Australian Labor Party,0.2632225280542028,26106.67355494389,68604.16103462374
493,Ryan,QLD,HEGEDUS,Australian Labor Party,0.23192266498228656,22929.96196413369,60256.27124782908
371,Maribyrnong,VIC,SHORTEN,Australian Labor Party,0.5117243077596585,51672.38542464704,135786.76131430446
372,Mayo,SA,DALLIMORE,Australian Labor Party,0.13321587444394462,13102.447330934172,34431.13519412206
422,Murray,VIC,WILLIAMS,Australian Labor Party,0.14400759835725657,14218.878239000442,37364.93699157492
61,Braddon,TAS,KEAY,Australian Labor Party,0.40722166499498497,28158.156469408226,73995.1298965697
377,McEwen,VIC,MITCHELL,Australian Labor Party,0.45777133562742733,56663.39369529858,148902.33248825342
30,Bendigo,VIC,CHESTERS,Australian Labor Party,0.38699996340079784,40438.78717563957,106266.66249163268
28,Batman,VIC,FEENEY,Australian Labor Party,0.36048190095491894,35971.4074505885,94527.10335495448
560,Wills,VIC,KHALIL,Australian Labor Party,0.38604328108189084,39965.90276056491,105023.9979103229
200,Forrest,WA,LOUD,Australian Labor Party,0.23588653275891008,22102.568119509873,58082.01260717282
23,Bass,TAS,HART,Australian Labor Party,0.4123413871023814,28650.304258647662,75288.41554304467
385,McMillan,VIC,BUCKINGHAM,Australian Labor Party,0.29778334436147086,32741.27871254372,86038.8418519709
216,Gellibrand,VIC,WATTS,Australian Labor Party,0.4787226944581593,47019.18560429149,123558.89669838134
555,Wide Bay,QLD,STANTON,Australian Labor Party,0.23591535048084056,22871.28548306605,60102.07884382029
390,McPherson,QLD,GADD,Australian Labor Party,0.2625776270073592,25231.084179137146,66303.25224930375
214,Fremantle,WA,WILSON,Australian Labor Party,0.423622457094111,38910.569929008285,102250.75208224513
392,Melbourne,VIC,ISMAIL,Australian Labor Party,0.24866151100535397,25172.750743605,66149.96131407496
414,Moreton,QLD,PERRETT,Australian Labor Party,0.3740143616125427,33904.027865815384,89094.3605869043
564,Wright,QLD,SMITH,Australian Labor Party,0.2314069338431894,21777.012323181025,57226.504063348024
396,Melbourne Ports,VIC,DANBY,Australian Labor Party,0.2711096189357059,24945.338257512172,65552.35768662079
412,Moore,WA,WALKER,Australian Labor Party,0.2907979372296773,26859.26067428191,70581.83957030498
565,Burt,WA,KEOGH,Australian Labor Party,0.4830381353487567,44504.235562222355,116950.01037983039
7,Ballarat,VIC,KING,Australian Labor Party,0.431189882005185,45345.22156131127,119159.98702767621
6,Aston,VIC,KLISARIS,Australian Labor Party,0.31860575744907815,28978.149457266005,76149.9402697819
