2016 Federal Election Senate First Preferences By State By Vote Type  [Please Note: These results are not final. Event:20499 Phase:PostElection Generated:2016-07-03T11:30:59 Cycle:708f49f7-4529-49b8-a413-ad3218ab69c1 Created:2016-07-03T11:27:50 Environment:PROD Site:FDC Server:DB01 Version:10.4.37.36662]
StateAb,Ticket,CandidateID,BallotPosition,CandidateDetails,PartyName,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes
ACT,A,29670,0,A Ticket Votes,Liberal Democratic Party,0,0,0,0,0,0
ACT,A,29611,1,"DONNELLY, Matt",Liberal Democrats,0,0,0,0,0,0
ACT,A,29612,2,"HENNINGS, Cawley",Liberal Democrats,0,0,0,0,0,0
ACT,A,0,9998,Unapportioned,Liberal Democratic Party,4186,0,0,0,0,4186
ACT,B,29669,0,B Ticket Votes,Secular Party of Australia,0,0,0,0,0,0
ACT,B,28933,1,"EDWARDS, David",Secular Party of Australia,0,0,0,0,0,0
ACT,B,28937,2,"MIHALJEVIC, Denis",Secular Party of Australia,0,0,0,0,0,0
ACT,B,0,9998,Unapportioned,Secular Party of Australia,856,0,0,0,0,856
ACT,C,29663,0,C Ticket Votes,Australian Labor Party,0,0,0,0,0,0
ACT,C,28147,1,"GALLAGHER, Katy",Australian Labor Party,0,0,0,0,0,0
ACT,C,28149,2,"SMITH, David",Australian Labor Party,0,0,0,0,0,0
ACT,C,0,9998,Unapportioned,Australian Labor Party,59283,0,0,0,0,59283
ACT,D,29672,0,D Ticket Votes,Rise Up Australia Party,0,0,0,0,0,0
ACT,D,29514,1,"O'CONNOR, Sandie",Rise Up Australia Party,0,0,0,0,0,0
ACT,D,29518,2,"WYATT, Jess",Rise Up Australia Party,0,0,0,0,0,0
ACT,D,0,9998,Unapportioned,Rise Up Australia Party,1511,0,0,0,0,1511
ACT,E,29666,0,E Ticket Votes,Sustainable Australia,0,0,0,0,0,0
ACT,E,28468,1,"HAYDON, John",Sustainable Australia,0,0,0,0,0,0
ACT,E,28469,2,"TYE, Martin",Sustainable Australia,0,0,0,0,0,0
ACT,E,0,9998,Unapportioned,Sustainable Australia,1626,0,0,0,0,1626
ACT,F,29667,0,F Ticket Votes,Liberal,0,0,0,0,0,0
ACT,F,28773,1,"SESELJA, Zed",Liberal,0,0,0,0,0,0
ACT,F,28782,2,"HIATT, Jane",Liberal,0,0,0,0,0,0
ACT,F,0,9998,Unapportioned,Liberal,49445,0,0,0,0,49445
ACT,G,29664,0,G Ticket Votes,Animal Justice Party,0,0,0,0,0,0
ACT,G,28254,1,"FIELD, Deborah",Animal Justice Party,0,0,0,0,0,0
ACT,G,28256,2,"MONTAGNE, Jessica",Animal Justice Party,0,0,0,0,0,0
ACT,G,0,9998,Unapportioned,Animal Justice Party,2638,0,0,0,0,2638
ACT,H,29665,0,H Ticket Votes,The Greens,0,0,0,0,0,0
ACT,H,28306,1,"HOBBS, Christina",The Greens,0,0,0,0,0,0
ACT,H,28308,2,"WAREHAM, Sue",The Greens,0,0,0,0,0,0
ACT,H,0,9998,Unapportioned,The Greens,26419,0,0,0,0,26419
